exon	region	chrom	start	end	strand	direction
exon154_MGAT1	3p	chr5	180217141	180217540	-	forward
exon155_FOXQ1	exon	chr6	1312675	1314993	+	forward
exon155_FOXQ1	5p	chr6	1308351	1312674	+	forward
exon155_FOXQ1	3p	chr6	1314994	1319317	+	reverse
exon156_GFOD1	exon	chr6	13363587	13365894	-	forward
exon156_GFOD1	5p	chr6	13365895	13369846	-	reverse
exon156_GFOD1	3p	chr6	13359635	13363586	-	forward
exon157_RBM24	exon	chr6	17291987	17294102	+	forward
exon157_RBM24	5p	chr6	17289855	17291986	+	forward
exon157_RBM24	3p	chr6	17294103	17296234	+	reverse
exon158_NHLRC1	exon	chr6	18120718	18122851	-	forward
exon158_NHLRC1	5p	chr6	18122852	18123691	-	reverse
exon158_NHLRC1	3p	chr6	18119878	18120717	-	forward
exon159_HDGFL1	exon	chr6	22569678	22571891	+	forward
exon159_HDGFL1	5p	chr6	22565722	22569677	+	forward
exon159_HDGFL1	3p	chr6	22571892	22575847	+	reverse
exon160_TRIM38	exon	chr6	25983392	25987557	+	forward
exon160_TRIM38	5p	chr6	25981628	25983391	+	forward
exon160_TRIM38	3p	chr6	25987558	25989321	+	reverse
exon161_RNF8	exon	chr6	37358518	37362514	+	forward
exon161_RNF8	5p	chr6	37349142	37358517	+	forward
exon161_RNF8	3p	chr6	37362515	37371890	+	reverse
exon162_SUPT3H	exon	chr6	44794467	44797594	-	forward
exon162_SUPT3H	5p	chr6	44797595	44823254	-	reverse
exon162_SUPT3H	3p	chr6	44768807	44794466	-	forward
exon163_CD2AP	exon	chr6	47591922	47594999	+	forward
exon163_CD2AP	5p	chr6	47589910	47591921	+	forward
exon163_CD2AP	3p	chr6	47595000	47597011	+	reverse
exon164_FAM83B	exon	chr6	54804504	54809897	+	forward
exon164_FAM83B	5p	chr6	54794388	54804503	+	forward
exon164_FAM83B	3p	chr6	54809898	54820013	+	reverse
exon165_HTR1B	exon	chr6	78170565	78173739	-	forward
exon165_HTR1B	5p	chr6	78173740	78186163	-	reverse
exon165_HTR1B	3p	chr6	78158141	78170564	-	forward
exon166_MEI4	exon	chr6	78632806	78636759	+	forward
exon166_MEI4	5p	chr6	78625326	78632805	+	forward
exon166_MEI4	3p	chr6	78636760	78644239	+	reverse
exon167_BVES	exon	chr6	105544697	105549088	-	forward
exon167_BVES	5p	chr6	105549089	105556048	-	reverse
exon167_BVES	3p	chr6	105537737	105544696	-	forward
exon168_PDSS2	exon	chr6	107473761	107475981	-	forward
exon168_PDSS2	5p	chr6	107475982	107477925	-	reverse
exon168_PDSS2	3p	chr6	107471817	107473760	-	forward
exon169_SOBP	exon	chr6	107979411	107982513	+	forward
exon169_SOBP	5p	chr6	107962215	107979410	+	forward
exon169_SOBP	3p	chr6	107982514	107999709	+	reverse
exon170_FOXO3	exon	chr6	109001030	109005971	+	forward
exon170_FOXO3	5p	chr6	108987322	109001029	+	forward
exon170_FOXO3	3p	chr6	109005972	109019679	+	reverse
exon171_MCM9	exon	chr6	119134612	119137457	-	forward
exon171_MCM9	5p	chr6	119137458	119138029	-	reverse
exon171_MCM9	3p	chr6	119134040	119134611	-	forward
exon172_GJA1	exon	chr6	121767978	121770890	+	forward
exon172_GJA1	5p	chr6	121766758	121767977	+	forward
exon172_GJA1	3p	chr6	121770891	121772110	+	reverse
exon173_TRDN	exon	chr6	123537484	123539885	-	forward
exon173_TRDN	5p	chr6	123539886	123562985	-	reverse
exon173_TRDN	3p	chr6	123514384	123537483	-	forward
exon174_TRDN	exon	chr6	123670620	123673731	-	forward
exon174_TRDN	5p	chr6	123673732	123683675	-	reverse
exon174_TRDN	3p	chr6	123660676	123670619	-	forward
exon175_AKAP7	exon	chr6	131602670	131604675	+	forward
exon175_AKAP7	5p	chr6	131596274	131602669	+	forward
exon175_AKAP7	3p	chr6	131604676	131611071	+	reverse
exon176_OLIG3	exon	chr6	137813336	137815531	-	forward
exon176_OLIG3	5p	chr6	137815532	137831319	-	reverse
exon176_OLIG3	3p	chr6	137797548	137813335	-	forward
exon177_GVQW2	exon	chr6	139046348	139048630	-	forward
exon177_GVQW2	5p	chr6	139048631	139056494	-	reverse
exon177_GVQW2	3p	chr6	139038484	139046347	-	forward
exon178_STX11	exon	chr6	144507760	144513076	+	forward
exon178_STX11	5p	chr6	144492860	144507759	+	forward
exon178_STX11	3p	chr6	144513077	144527976	+	reverse
exon179_UTRN	exon	chr6	145172125	145174170	+	forward
exon179_UTRN	5p	chr6	145167857	145172124	+	forward
exon179_UTRN	3p	chr6	145174171	145178438	+	reverse
exon180_UST	exon	chr6	149394969	149398126	+	forward
exon180_UST	5p	chr6	149376781	149394968	+	forward
exon180_UST	3p	chr6	149398127	149416314	+	reverse
exon181_TAB2	exon	chr6	149730713	149732749	+	forward
exon181_TAB2	5p	chr6	149726389	149730712	+	forward
exon181_TAB2	3p	chr6	149732750	149737073	+	reverse
exon182_IPCEF1	exon	chr6	154475618	154481175	-	forward
exon182_IPCEF1	5p	chr6	154481176	154481911	-	reverse
exon182_IPCEF1	3p	chr6	154474882	154475617	-	forward
exon183_PARK2	exon	chr6	161768590	161771243	-	forward
exon183_PARK2	5p	chr6	161771244	161773671	-	reverse
exon183_PARK2	3p	chr6	161766162	161768589	-	forward
exon184_PAPOLB	exon	chr7	4897369	4901625	-	forward
exon184_PAPOLB	5p	chr7	4901626	4912241	-	reverse
exon184_PAPOLB	3p	chr7	4886753	4897368	-	forward
exon185_ZNF316	exon	chr7	6691934	6697910	+	forward
exon185_ZNF316	5p	chr7	6684398	6691933	+	forward
exon185_ZNF316	3p	chr7	6697911	6705446	+	reverse
exon186_DGKB	exon	chr7	14184674	14188863	-	forward
exon186_DGKB	5p	chr7	14188864	14209843	-	reverse
exon186_DGKB	3p	chr7	14163694	14184673	-	forward
exon187_ISPD	exon	chr7	16127152	16131424	-	forward
exon187_ISPD	5p	chr7	16131425	16133880	-	reverse
exon187_ISPD	3p	chr7	16124696	16127151	-	forward
exon188_SP4	exon	chr7	21550640	21554440	+	forward
exon188_SP4	5p	chr7	21549772	21550639	+	forward
exon188_SP4	3p	chr7	21554441	21555308	+	reverse
exon189_PDE1C	exon	chr7	31790793	31793167	-	forward
exon189_PDE1C	5p	chr7	31793168	31812187	-	reverse
exon189_PDE1C	3p	chr7	31771773	31790792	-	forward
exon190_BMPER	exon	chr7	34192704	34195484	+	forward
exon190_BMPER	5p	chr7	34191028	34192703	+	forward
exon190_BMPER	3p	chr7	34195485	34197160	+	reverse
exon191_GPR141	exon	chr7	37779982	37783423	+	forward
exon191_GPR141	5p	chr7	37776086	37779981	+	forward
exon191_GPR141	3p	chr7	37783424	37787319	+	reverse
exon192_CRCP	exon	chr7	65617195	65619555	+	forward
exon192_CRCP	5p	chr7	65611663	65617194	+	forward
exon192_CRCP	3p	chr7	65619556	65625087	+	reverse
exon193_YWHAG	exon	chr7	75956108	75959550	-	forward
exon193_YWHAG	5p	chr7	75959551	75962982	-	reverse
exon193_YWHAG	3p	chr7	75952676	75956107	-	forward
exon194_MAGI2	exon	chr7	77646374	77649293	-	forward
exon194_MAGI2	5p	chr7	77649294	77661417	-	reverse
exon194_MAGI2	3p	chr7	77634250	77646373	-	forward
exon195_FZD1	exon	chr7	90893783	90898132	+	forward
exon195_FZD1	5p	chr7	90881899	90893782	+	forward
exon195_FZD1	3p	chr7	90898133	90910016	+	reverse
exon196_AKAP9	exon	chr7	91630162	91632549	+	forward
exon196_AKAP9	5p	chr7	91625502	91630161	+	forward
exon196_AKAP9	3p	chr7	91632550	91637209	+	reverse
exon197_TRIM4	exon	chr7	99488030	99490369	-	forward
exon197_TRIM4	5p	chr7	99490370	99499121	-	reverse
exon197_TRIM4	3p	chr7	99479278	99488029	-	forward
exon198_LRRN3	exon	chr7	110762471	110765510	+	forward
exon198_LRRN3	5p	chr7	110748379	110762470	+	forward
exon198_LRRN3	3p	chr7	110765511	110779602	+	reverse
exon199_CAV2	exon	chr7	116146025	116148595	+	forward
exon199_CAV2	5p	chr7	116142765	116146024	+	forward
exon199_CAV2	3p	chr7	116148596	116151855	+	reverse
exon200_KCND2	exon	chr7	119913722	119915801	+	forward
exon200_KCND2	5p	chr7	119905610	119913721	+	forward
exon200_KCND2	3p	chr7	119915802	119923913	+	reverse
exon201_GPR37	exon	chr7	124404008	124406079	-	forward
exon201_GPR37	5p	chr7	124406080	124406691	-	reverse
exon201_GPR37	3p	chr7	124403396	124404007	-	forward
exon202_NRF1	exon	chr7	129394858	129396922	+	forward
exon202_NRF1	5p	chr7	129394626	129394857	+	forward
exon202_NRF1	3p	chr7	129396923	129397154	+	reverse
exon203_C7orf49	exon	chr7	134777061	134779334	-	forward
exon203_C7orf49	5p	chr7	134779335	134781918	-	reverse
exon203_C7orf49	3p	chr7	134774477	134777060	-	forward
exon204_MTPN	exon	chr7	135611503	135614760	-	forward
exon204_MTPN	5p	chr7	135614761	135628536	-	reverse
exon204_MTPN	3p	chr7	135597727	135611502	-	forward
exon205_CTAGE15	exon	chr7	143268894	143271480	+	forward
exon205_CTAGE15	5p	chr7	143258034	143268893	+	forward
exon205_CTAGE15	3p	chr7	143271481	143282340	+	reverse
exon206_CNTNAP2	exon	chr7	148112509	148118090	+	forward
exon206_CNTNAP2	5p	chr7	148109765	148112508	+	forward
exon206_CNTNAP2	3p	chr7	148118091	148120834	+	reverse
exon207_ZNF425	exon	chr7	148799876	148802658	-	forward
exon207_ZNF425	5p	chr7	148802659	148802946	-	reverse
exon207_ZNF425	3p	chr7	148799588	148799875	-	forward
exon208_HTR5A	exon	chr7	154875865	154879102	+	forward
exon208_HTR5A	5p	chr7	154864221	154875864	+	forward
exon208_HTR5A	3p	chr7	154879103	154890746	+	reverse
exon209_MCPH1	exon	chr8	6500515	6506026	+	forward
exon209_MCPH1	5p	chr8	6491747	6500514	+	forward
exon209_MCPH1	3p	chr8	6506027	6514794	+	reverse
exon210_MFHAS1	exon	chr8	8747571	8751131	-	forward
exon210_MFHAS1	5p	chr8	8751132	8751779	-	reverse
exon210_MFHAS1	3p	chr8	8746923	8747570	-	forward
exon211_ERI1	exon	chr8	8887302	8890849	+	forward
exon211_ERI1	5p	chr8	8884038	8887301	+	forward
exon211_ERI1	3p	chr8	8890850	8894113	+	reverse
exon212_PPP1R3B	exon	chr8	8993764	8999178	-	forward
exon212_PPP1R3B	5p	chr8	8999179	9006938	-	reverse
exon212_PPP1R3B	3p	chr8	8986004	8993763	-	forward
exon213_TNKS	exon	chr8	9634160	9639856	+	forward
exon213_TNKS	5p	chr8	9630696	9634159	+	forward
exon213_TNKS	3p	chr8	9639857	9643320	+	reverse
exon214_XKR6	exon	chr8	10753654	10756426	-	forward
exon214_XKR6	5p	chr8	10756427	10760178	-	reverse
exon214_XKR6	3p	chr8	10749902	10753653	-	forward
exon215_FAM167A	exon	chr8	11278973	11282145	-	forward
exon215_FAM167A	5p	chr8	11282146	11286705	-	reverse
exon215_FAM167A	3p	chr8	11274413	11278972	-	forward
exon216_SGCZ	exon	chr8	13942344	13948146	-	forward
exon216_SGCZ	5p	chr8	13948147	13958066	-	reverse
exon216_SGCZ	3p	chr8	13932424	13942343	-	forward
exon217_MTUS1	exon	chr8	17611226	17613470	-	forward
exon217_MTUS1	5p	chr8	17613471	17616298	-	reverse
exon217_MTUS1	3p	chr8	17608398	17611225	-	forward
exon218_SCARA5	exon	chr8	27727399	27729587	-	forward
exon218_SCARA5	5p	chr8	27729588	27731923	-	reverse
exon218_SCARA5	3p	chr8	27725063	27727398	-	forward
exon219_RAB11FIP1	exon	chr8	37716465	37720631	-	forward
exon219_RAB11FIP1	5p	chr8	37720632	37726691	-	reverse
exon219_RAB11FIP1	3p	chr8	37710405	37716464	-	forward
exon220_SNTG1	exon	chr8	51705231	51709216	+	forward
exon220_SNTG1	5p	chr8	51692267	51705230	+	forward
exon220_SNTG1	3p	chr8	51709217	51722180	+	reverse
exon221_FAM110B	exon	chr8	59058466	59062277	+	forward
exon221_FAM110B	5p	chr8	59047510	59058465	+	forward
exon221_FAM110B	3p	chr8	59062278	59073233	+	reverse
exon222_ASPH	exon	chr8	62536269	62538839	-	forward
exon222_ASPH	5p	chr8	62538840	62542951	-	reverse
exon222_ASPH	3p	chr8	62532157	62536268	-	forward
exon223_YTHDF3	exon	chr8	64122241	64125346	+	forward
exon223_YTHDF3	5p	chr8	64119093	64122240	+	forward
exon223_YTHDF3	3p	chr8	64125347	64128494	+	reverse
exon224_XKR9	exon	chr8	71646031	71648177	+	forward
exon224_XKR9	5p	chr8	71641395	71646030	+	forward
exon224_XKR9	3p	chr8	71648178	71652813	+	reverse
exon225_KCNB2	exon	chr8	73848170	73850584	+	forward
exon225_KCNB2	5p	chr8	73838554	73848169	+	forward
exon225_KCNB2	3p	chr8	73850585	73860200	+	reverse
exon226_DCAF4L2	exon	chr8	88882971	88886296	-	forward
exon226_DCAF4L2	5p	chr8	88886297	88897584	-	reverse
exon226_DCAF4L2	3p	chr8	88871683	88882970	-	forward
exon227_BAALC	exon	chr8	104240217	104242533	+	forward
exon227_BAALC	5p	chr8	104229429	104240216	+	forward
exon227_BAALC	3p	chr8	104242534	104253321	+	reverse
exon228_ZHX2	exon	chr8	123963532	123966268	+	forward
exon228_ZHX2	5p	chr8	123962560	123963531	+	forward
exon228_ZHX2	3p	chr8	123966269	123967240	+	reverse
exon229_LRRC6	exon	chr8	133582667	133584728	-	forward
exon229_LRRC6	5p	chr8	133584729	133585092	-	reverse
exon229_LRRC6	3p	chr8	133582303	133582666	-	forward
exon230_ZNF251	exon	chr8	145946294	145948767	-	forward
exon230_ZNF251	5p	chr8	145948768	145969327	-	reverse
exon230_ZNF251	3p	chr8	145925734	145946293	-	forward
exon231_CCDC171	exon	chr9	15971607	15974037	+	forward
exon231_CCDC171	5p	chr9	15966727	15971606	+	forward
exon231_CCDC171	3p	chr9	15974038	15978917	+	reverse
exon232_KLHL9	exon	chr9	21329670	21335431	-	forward
exon232_KLHL9	5p	chr9	21335432	21347687	-	reverse
exon232_KLHL9	3p	chr9	21317414	21329669	-	forward
exon233_TUSC1	exon	chr9	25676387	25678856	-	forward
exon233_TUSC1	5p	chr9	25678857	25682480	-	reverse
exon233_TUSC1	3p	chr9	25672763	25676386	-	forward
exon234_MOB3B	exon	chr9	27325207	27330614	-	forward
exon234_MOB3B	5p	chr9	27330615	27336422	-	reverse
exon234_MOB3B	3p	chr9	27319399	27325206	-	forward
exon235_LINGO2	exon	chr9	27948084	27950704	-	forward
exon235_LINGO2	5p	chr9	27950705	27957016	-	reverse
exon235_LINGO2	3p	chr9	27941772	27948083	-	forward
exon236_KLF9	exon	chr9	72999513	73002921	-	forward
exon236_KLF9	5p	chr9	73002922	73016285	-	reverse
exon236_KLF9	3p	chr9	72986149	72999512	-	forward
exon237_TRPM3	exon	chr9	73149949	73152321	-	forward
exon237_TRPM3	5p	chr9	73152322	73160481	-	reverse
exon237_TRPM3	3p	chr9	73141789	73149948	-	forward
exon238_PRUNE2	exon	chr9	79226292	79229516	-	forward
exon238_PRUNE2	5p	chr9	79229517	79231708	-	reverse
exon238_PRUNE2	3p	chr9	79224100	79226291	-	forward
exon239_NTRK2	exon	chr9	87425457	87430623	+	forward
exon239_NTRK2	5p	chr9	87420881	87425456	+	forward
exon239_NTRK2	3p	chr9	87430624	87435199	+	reverse
exon240_C9orf170	exon	chr9	89771488	89774641	+	forward
exon240_C9orf170	5p	chr9	89764324	89771487	+	forward
exon240_C9orf170	3p	chr9	89774642	89781805	+	reverse
exon241_SPIN1	exon	chr9	91089993	91093623	+	forward
exon241_SPIN1	5p	chr9	91086649	91089992	+	forward
exon241_SPIN1	3p	chr9	91093624	91096967	+	reverse
exon242_SYK	exon	chr9	93657810	93660842	+	forward
exon242_SYK	5p	chr9	93654806	93657809	+	forward
exon242_SYK	3p	chr9	93660843	93663846	+	reverse
exon243_ZNF484	exon	chr9	95607313	95610833	-	forward
exon243_ZNF484	5p	chr9	95610834	95612361	-	reverse
exon243_ZNF484	3p	chr9	95605785	95607312	-	forward
exon244_CDC14B	exon	chr9	99262395	99266071	-	forward
exon244_CDC14B	5p	chr9	99266072	99271743	-	reverse
exon244_CDC14B	3p	chr9	99256723	99262394	-	forward
exon245_NR4A3	exon	chr9	102625902	102629173	+	forward
exon245_NR4A3	5p	chr9	102615430	102625901	+	forward
exon245_NR4A3	3p	chr9	102629174	102639645	+	reverse
exon246_PALM2-AKAP2	exon	chr9	112930679	112934792	+	forward
exon246_PALM2-AKAP2	5p	chr9	112922635	112930678	+	forward
exon246_PALM2-AKAP2	3p	chr9	112934793	112942836	+	reverse
exon247_MVB12B	exon	chr9	129265456	129269320	+	forward
exon247_MVB12B	5p	chr9	129258884	129265455	+	forward
exon247_MVB12B	3p	chr9	129269321	129275892	+	reverse
exon248_ZBTB43	exon	chr9	129594766	129600489	+	forward
exon248_ZBTB43	5p	chr9	129589114	129594765	+	forward
exon248_ZBTB43	3p	chr9	129600490	129606141	+	reverse
exon249_LRRC8A	exon	chr9	131669436	131671600	+	forward
exon249_LRRC8A	5p	chr9	131664276	131669435	+	forward
exon249_LRRC8A	3p	chr9	131671601	131676760	+	reverse
exon250_IER5L	exon	chr9	131937831	131940540	-	forward
exon250_IER5L	5p	chr9	131940541	131951892	-	reverse
exon250_IER5L	3p	chr9	131926479	131937830	-	forward
exon251_NCS1	exon	chr9	132995269	132999583	+	forward
exon251_NCS1	5p	chr9	132994729	132995268	+	forward
exon251_NCS1	3p	chr9	132999584	133000123	+	reverse
exon252_FAM78A	exon	chr9	134133465	134136737	-	forward
exon252_FAM78A	5p	chr9	134136738	134144493	-	reverse
exon252_FAM78A	3p	chr9	134125709	134133464	-	forward
exon253_PFKFB3	exon	chr10	6274858	6277508	+	forward
exon253_PFKFB3	5p	chr10	6272186	6274857	+	forward
exon253_PFKFB3	3p	chr10	6277509	6280180	+	reverse
exon254_SFMBT2	exon	chr10	7200586	7205872	-	forward
exon254_SFMBT2	5p	chr10	7205873	7211292	-	reverse
exon254_SFMBT2	3p	chr10	7195166	7200585	-	forward
exon255_USP6NL	exon	chr10	11502509	11505848	-	forward
exon255_USP6NL	5p	chr10	11505849	11510184	-	reverse
exon255_USP6NL	3p	chr10	11498173	11502508	-	forward
exon256_CCDC3	exon	chr10	12938625	12940679	-	forward
exon256_CCDC3	5p	chr10	12940680	12945227	-	reverse
exon256_CCDC3	3p	chr10	12934077	12938624	-	forward
exon257_RSU1	exon	chr10	16632615	16635495	-	forward
exon257_RSU1	5p	chr10	16635496	16636371	-	reverse
exon257_RSU1	3p	chr10	16631739	16632614	-	forward
exon258_TMEM236	exon	chr10	17837920	17842866	+	forward
exon258_TMEM236	5p	chr10	17822012	17837919	+	forward
exon258_TMEM236	3p	chr10	17842867	17858774	+	reverse
exon259_OTUD1	exon	chr10	23728198	23731310	+	forward
exon259_OTUD1	5p	chr10	23711750	23728197	+	forward
exon259_OTUD1	3p	chr10	23731311	23747758	+	reverse
exon260_MKX	exon	chr10	27961803	27964344	-	forward
exon260_MKX	5p	chr10	27964345	27975964	-	reverse
exon260_MKX	3p	chr10	27950183	27961802	-	forward
exon261_PARD3	exon	chr10	34398488	34400490	-	forward
exon261_PARD3	5p	chr10	34400491	34406762	-	reverse
exon261_PARD3	3p	chr10	34392216	34398487	-	forward
exon262_ZNF37A	exon	chr10	38435660	38439197	+	forward
exon262_ZNF37A	5p	chr10	38425884	38435659	+	forward
exon262_ZNF37A	3p	chr10	38439198	38448973	+	reverse
exon263_CSGALNACT2	exon	chr10	43678698	43680756	+	forward
exon263_CSGALNACT2	5p	chr10	43674762	43678697	+	forward
exon263_CSGALNACT2	3p	chr10	43680757	43684692	+	reverse
exon264_HNRNPF	exon	chr10	43881065	43883384	-	forward
exon264_HNRNPF	5p	chr10	43883385	43888736	-	reverse
exon264_HNRNPF	3p	chr10	43875713	43881064	-	forward
exon265_CSTF2T	exon	chr10	53455246	53459355	-	forward
exon265_CSTF2T	5p	chr10	53459356	53470599	-	reverse
exon265_CSTF2T	3p	chr10	53444002	53455245	-	forward
exon266_ANK3	exon	chr10	61786056	61789584	-	forward
exon266_ANK3	5p	chr10	61789585	61801480	-	reverse
exon266_ANK3	3p	chr10	61774160	61786055	-	forward
exon267_LRRTM3	exon	chr10	68857345	68861309	+	forward
exon267_LRRTM3	5p	chr10	68827097	68857344	+	forward
exon267_LRRTM3	3p	chr10	68861310	68891557	+	reverse
exon268_LRRC20	exon	chr10	72058726	72061264	-	forward
exon268_LRRC20	5p	chr10	72061265	72077300	-	reverse
exon268_LRRC20	3p	chr10	72042690	72058725	-	forward
exon269_ZCCHC24	exon	chr10	81142081	81146214	-	forward
exon269_ZCCHC24	5p	chr10	81146215	81151490	-	reverse
exon269_ZCCHC24	3p	chr10	81136805	81142080	-	forward
exon270_CCSER2	exon	chr10	86273205	86278277	+	forward
exon270_CCSER2	5p	chr10	86267853	86273204	+	forward
exon270_CCSER2	3p	chr10	86278278	86283629	+	reverse
exon271_CPEB3	exon	chr10	93808397	93812196	-	forward
exon271_CPEB3	5p	chr10	93812197	93823012	-	reverse
exon271_CPEB3	3p	chr10	93797581	93808396	-	forward
exon272_FRAT1	exon	chr10	99079022	99081672	+	forward
exon272_FRAT1	5p	chr10	99077890	99079021	+	forward
exon272_FRAT1	3p	chr10	99081673	99082804	+	reverse
exon273_FRAT2	exon	chr10	99092254	99094458	-	forward
exon273_FRAT2	5p	chr10	99094459	99103814	-	reverse
exon273_FRAT2	3p	chr10	99082898	99092253	-	forward
exon274_RPEL1	exon	chr10	105005644	105007773	+	forward
exon274_RPEL1	5p	chr10	104984636	105005643	+	forward
exon274_RPEL1	3p	chr10	105007774	105028781	+	reverse
exon275_STN1	exon	chr10	105637316	105642599	-	forward
exon275_STN1	5p	chr10	105642600	105645023	-	reverse
exon275_STN1	3p	chr10	105634892	105637315	-	forward
exon276_ADRA2A	exon	chr10	112836790	112840665	+	forward
exon276_ADRA2A	5p	chr10	112818922	112836789	+	forward
exon276_ADRA2A	3p	chr10	112840666	112858533	+	reverse
exon277_ADRB1	exon	chr10	115803806	115806667	+	forward
exon277_ADRB1	5p	chr10	115796994	115803805	+	forward
exon277_ADRB1	3p	chr10	115806668	115813479	+	reverse
exon278_ATRNL1	exon	chr10	117704169	117708510	+	forward
exon278_ATRNL1	5p	chr10	117700761	117704168	+	forward
exon278_ATRNL1	3p	chr10	117708511	117711918	+	reverse
exon279_RAB11FIP2	exon	chr10	119764427	119768736	-	forward
exon279_RAB11FIP2	5p	chr10	119768737	119778836	-	reverse
exon279_RAB11FIP2	3p	chr10	119754327	119764426	-	forward
exon280_ATE1	exon	chr10	123499936	123503373	-	forward
exon280_ATE1	5p	chr10	123503374	123519853	-	reverse
exon280_ATE1	3p	chr10	123483456	123499935	-	forward
exon281_TOLLIP	exon	chr11	1295598	1298483	-	forward
exon281_TOLLIP	5p	chr11	1298484	1301599	-	reverse
exon281_TOLLIP	3p	chr11	1292482	1295597	-	forward
exon282_OR51E1	exon	chr11	4673718	4676718	+	forward
exon282_OR51E1	5p	chr11	4672638	4673717	+	forward
exon282_OR51E1	3p	chr11	4676719	4677798	+	reverse
exon283_OR51E2	exon	chr11	4701401	4703991	-	forward
exon283_OR51E2	5p	chr11	4703992	4705191	-	reverse
exon283_OR51E2	3p	chr11	4700201	4701400	-	forward
exon284_ZNF215	exon	chr11	6976921	6979278	+	forward
exon284_ZNF215	5p	chr11	6976349	6976920	+	forward
exon284_ZNF215	3p	chr11	6979279	6979850	+	reverse
exon285_RBMXL2	exon	chr11	7110165	7112379	+	forward
exon285_RBMXL2	5p	chr11	7104941	7110164	+	forward
exon285_RBMXL2	3p	chr11	7112380	7117603	+	reverse
exon286_RASSF10	exon	chr11	13030970	13033653	+	forward
exon286_RASSF10	5p	chr11	13023358	13030969	+	forward
exon286_RASSF10	3p	chr11	13033654	13041265	+	reverse
exon287_FANCF	exon	chr11	22644079	22647387	-	forward
exon287_FANCF	5p	chr11	22647388	22659015	-	reverse
exon287_FANCF	3p	chr11	22632451	22644078	-	forward
exon288_FIBIN	exon	chr11	27015628	27018634	+	forward
exon288_FIBIN	5p	chr11	27009808	27015627	+	forward
exon288_FIBIN	3p	chr11	27018635	27024454	+	reverse
exon289_CD44	exon	chr11	35250676	35253949	+	forward
exon289_CD44	5p	chr11	35245544	35250675	+	forward
exon289_CD44	3p	chr11	35253950	35259081	+	reverse
exon290_FJX1	exon	chr11	35639735	35642421	+	forward
exon290_FJX1	5p	chr11	35631123	35639734	+	forward
exon290_FJX1	3p	chr11	35642422	35651033	+	reverse
exon291_TRIM44	exon	chr11	35827908	35832603	+	forward
exon291_TRIM44	5p	chr11	35814556	35827907	+	forward
exon291_TRIM44	3p	chr11	35832604	35845955	+	reverse
exon292_PRR5L	exon	chr11	36483892	36486754	+	forward
exon292_PRR5L	5p	chr11	36479992	36483891	+	forward
exon292_PRR5L	3p	chr11	36486755	36490654	+	reverse
exon293_LRRC4C	exon	chr11	40135749	40137884	-	forward
exon293_LRRC4C	5p	chr11	40137885	40160248	-	reverse
exon293_LRRC4C	3p	chr11	40113385	40135748	-	forward
exon294_SHANK2	exon	chr11	70313961	70319544	-	forward
exon294_SHANK2	5p	chr11	70319545	70324496	-	reverse
exon294_SHANK2	3p	chr11	70309009	70313960	-	forward
exon295_UVRAG	exon	chr11	75851755	75855282	+	forward
exon295_UVRAG	5p	chr11	75840843	75851754	+	forward
exon295_UVRAG	3p	chr11	75855283	75866194	+	reverse
exon296_THAP12	exon	chr11	76061000	76063838	-	forward
exon296_THAP12	5p	chr11	76063839	76066294	-	reverse
exon296_THAP12	3p	chr11	76058544	76060999	-	forward
exon297_CCDC89	exon	chr11	85394887	85397320	-	forward
exon297_CCDC89	5p	chr11	85397321	85402052	-	reverse
exon297_CCDC89	3p	chr11	85390155	85394886	-	forward
exon298_NOX4	exon	chr11	89057521	89060044	-	forward
exon298_NOX4	5p	chr11	89060045	89062504	-	reverse
exon298_NOX4	3p	chr11	89055061	89057520	-	forward
exon299_SLC36A4	exon	chr11	92877337	92882010	-	forward
exon299_SLC36A4	5p	chr11	92882011	92886786	-	reverse
exon299_SLC36A4	3p	chr11	92872561	92877336	-	forward
exon300_KDM4E	exon	chr11	94758422	94760760	+	forward
exon300_KDM4E	5p	chr11	94749534	94758421	+	forward
exon300_KDM4E	3p	chr11	94760761	94769648	+	reverse
exon301_ENDOD1	exon	chr11	94861541	94865815	+	forward
exon301_ENDOD1	5p	chr11	94855453	94861540	+	forward
exon301_ENDOD1	3p	chr11	94865816	94871903	+	reverse
exon302_DDI1	exon	chr11	103907308	103909922	+	forward
exon302_DDI1	5p	chr11	103885064	103907307	+	forward
exon302_DDI1	3p	chr11	103909923	103932166	+	reverse
exon303_KDM5A	exon	chr12	389223	394828	-	forward
exon303_KDM5A	5p	chr12	394829	398204	-	reverse
exon303_KDM5A	3p	chr12	385847	389222	-	forward
exon304_KCNA6	exon	chr12	4918342	4923944	+	forward
exon304_KCNA6	5p	chr12	4908658	4918341	+	forward
exon304_KCNA6	3p	chr12	4923945	4933628	+	reverse
exon305_KCNA5	exon	chr12	5153085	5155954	+	forward
exon305_KCNA5	5p	chr12	5149113	5153084	+	forward
exon305_KCNA5	3p	chr12	5155955	5159926	+	reverse
exon306_LPAR5	exon	chr12	6728001	6730630	-	forward
exon306_LPAR5	5p	chr12	6730631	6734390	-	reverse
exon306_LPAR5	3p	chr12	6724241	6728000	-	forward
exon307_LMO3	exon	chr12	16701306	16704261	-	forward
exon307_LMO3	5p	chr12	16704262	16705381	-	reverse
exon307_LMO3	3p	chr12	16700186	16701305	-	forward
exon308_PDE3A	exon	chr12	20832964	20837041	+	forward
exon308_PDE3A	5p	chr12	20829496	20832963	+	forward
